Item Code,Task,Segment,Report,Sub task,Material Spacification,QTY,Unit,Reat,Total Amount in BDT,Remarts
,Site Devolopment & Shed House,Common,,Viti Sand,,"1,500.00",cft,14,21000,
,Site Devolopment & Shed House,Common,,Shed House (Office Sttuf),,1,job,"14,000.00",14000,
,Site Devolopment & Shed House,Common,,Shed House (Worker),,1,job,"40,000.00",40000,
,Site Devolopment & Shed House,Common,,Costruction of Site Office,,1,job,"20,000.00",20000,
,Site Devolopment & Shed House,Common,,Store Room,,1,job,"30,000.00",30000,
,Site Devolopment & Shed House,Common,,Worker toilet,,1,job,"15,000.00",15000,
,Site Devolopment & Shed House,Common,,Electric Connection,,1,job,"45,000.00",45000,
,Site Devolopment & Shed House,Common,,Water Connection,,1,job,"45,000.00",45000,
,Site Devolopment & Shed House,Common,,Facing Wall,,1,job,"85,000.00",85000,
,Site Devolopment & Shed House,Common,,Project Board,,1,job,"30,000.00",30000,
,Site Devolopment & Shed House,Common,,Project Board 2,,1,job,"15,000.00",15000,
,Site Devolopment & Shed House,Common,,1st class Brick,,"2,000.00",pcs,9,18000,
,Site Devolopment & Shed House,Common,,2nd class Brick,,"5,000.00",pcs,8,40000,
,Site Devolopment & Shed House,Common,,Daily Labour,,80,Nos,500,40000,
,Site Devolopment & Shed House,Common,,Layout Cost,,1,job,"10,000.00",10000,
,Site Devolopment & Shed House,Common,,Contrator Bill,,,,,0,
,Pile Work,Common,,08mm Rod,GPH,,Kg,,0,
,Pile Work,Common,,10mm Rod,GPH,"6,395.00",Kg,55.88,357352.6,
,Pile Work,Common,,12mm Rod,GPH,,Kg,,0,
,Pile Work,Common,,16mm Rod,GPH,"18,267.00",Kg,55.88,1020759.96,
,Pile Work,Common,,20mm Rod,GPH,,Kg,,0,
,Pile Work,Common,,22mm Rod,GPH,,Kg,,0,
,Pile Work,Common,,25mm Rod,GPH,,Kg,,0,
,Pile Work,Common,,Cement (OPC/ CEM I),Fresh,"2,197.00",Bag,395.11,868056.67,
,Pile Work,Common,,Cement (PCC/ CEM II),Fresh,,Bag,,0,
,Pile Work,Common,,Sand (FM 2.50),APCS,"4,556.00",Cft,48.9,222788.4,
,Pile Work,Common,,Sand (FM 1.50),APCS,,Cft,,0,
,Pile Work,Common,,Viti Sand,APCS,,Cft,,0,
,Pile Work,Common,,18mm single stone,APCS,"8,745.00",Cft,158.62,1387131.9,
,Pile Work,Common,,18mm crushed stone,APCS,,Cft,,0,
,Pile Work,Common,,12mm crushed stone,APCS,,Cft,,0,
,Pile Work,Common,,18mm Brick Chips,APCS,,Cft,,0,
,Pile Work,Common,,1st class Brick,APCS,,Pcs,,0,
,Pile Work,Common,,2nd class Brick,APCS,,Pcs,,0,
,Pile Work,Common,,Picket Brick,APCS,,Pcs,,0,
,Pile Work,Common,,Chemical (ConLub),Baral,440,Litre,145,63800,
,Pile Work,Common,,Daily Labour,,,Pcs,,0,
,Pile Work,Common,,Contrator Bill:,APA,,,,0,
,Pile Work,Common,,20'' dia,,"5,195.00",Rft,170,883150,
,Pile Work,Common,,22'' dia,,,Rft,,0,
,Pile Work,Common,,Materials Carrying,,1,Job,10000,10000,
,Structure Work,Up To PL,,08mm Rod,GPH,,Kg,,0,
,Structure Work,Up To PL,,10mm Rod,GPH,"5,688.48",Kg,60,341308.8,
,Structure Work,Up To PL,,12mm Rod,GPH,"1,747.89",Kg,60,104873.4,
,Structure Work,Up To PL,,16mm Rod,GPH,"2,221.00",Kg,60,133260,
,Structure Work,Up To PL,,20mm Rod,GPH,"3,612.89",Kg,60,216773.4,
,Structure Work,Up To PL,,22mm Rod,GPH,,Kg,,0,
,Structure Work,Up To PL,,25mm Rod,GPH,"9,377.88",Kg,60,562672.8,
,Structure Work,Up To PL,,Cement (OPC/ CEM I),Fresh,"1,901.23",Bag,400,760492,
,Structure Work,Up To PL,,Cement (PCC/ CEM II),Fresh,,Bag,,0,
,Structure Work,Up To PL,,Sand (FM 2.50),APCS,"3,270.72",Cft,48,156994.56,
,Structure Work,Up To PL,,Sand (FM 1.50),APCS,"1,117.93",Cft,28,31302.04,
,Structure Work,Up To PL,,Viti Sand,APCS,"18,613.00",Cft,14.5,269888.5,
,Structure Work,Up To PL,,18mm single stone,APCS,,Cft,,0,
,Structure Work,Up To PL,,18mm crushed stone,APCS,"5,288.78",Cft,180,951980.4,
,Structure Work,Up To PL,,12mm crushed stone,APCS,,Cft,,0,
,Structure Work,Up To PL,,18mm Brick Chips,APCS,"2,126.78",Cft,80,170142.4,
,Structure Work,Up To PL,,1st class Brick,APCS,"5,350.00",Pcs,9,48150,
,Structure Work,Up To PL,,2nd class Brick,APCS,"28,599.00",Pcs,7.5,214492.5,
,Structure Work,Up To PL,,Picket Brick,APCS,,Pcs,,0,
,Structure Work,Up To PL,,Chemical (ConLub),Baral,356.91,Litre,145,51751.95,
,Structure Work,Up To PL,,Daily Labour,,,nos,,0,
,Structure Work,Up To PL,,Contrator Bill,APA,"3,088.00",Sft,170,524960,
,Structure Work,Up To PL,,Contrator Bill 2,APA,517.76,Sft,310,160505.6,
,Structure Work,Up To PL,,Form Work,,,,,0,
,Structure Work,Ground Floor,,08mm Rod,GPH,,Kg,,0,
,Structure Work,Ground Floor,,10mm Rod,GPH,"5,407.61",Kg,64,346087.04,
,Structure Work,Ground Floor,,12mm Rod,GPH,"1,242.79",Kg,64,79538.56,
,Structure Work,Ground Floor,,16mm Rod,GPH,344.36,Kg,64,22039.04,
,Structure Work,Ground Floor,,20mm Rod,GPH,"4,181.72",Kg,64,267630.08,
,Structure Work,Ground Floor,,22mm Rod,GPH,,Kg,,0,
