Item Code,Task,Segment,Report,Sub task,Material Spacification,QTY,Unit,Reat,Total Amount in BDT,Remarks
,Site Devolopment & Shed House,Common,,Viti Sand,,500, cft ,14,"7,000.00",
,Site Devolopment & Shed House,Common,,Shed House (Office Sttuf),,1, job ,"15,000.00","15,000.00",
,Site Devolopment & Shed House,Common,,Shed House (Worker),,1, job ,"10,000.00","10,000.00",
,Site Devolopment & Shed House,Common,,Costruction of Site Office,,1, job ,"10,000.00","10,000.00",
,Site Devolopment & Shed House,Common,,Store Room,,1, job ,"10,000.00","10,000.00",
,Site Devolopment & Shed House,Common,,Worker toilet,,1, job ,"10,000.00","10,000.00",
,Site Devolopment & Shed House,Common,,Electric Connection ,,1, job ,"5,000.00","5,000.00",
,Site Devolopment & Shed House,Common,,Water Connection ,,1, job ,"15,000.00","15,000.00",
,Site Devolopment & Shed House,Common,,Facing Wall,,1, job ,"25,000.00","25,000.00",
,Site Devolopment & Shed House,Common,,Project Board,,1, job ,"30,000.00","30,000.00",
,Site Devolopment & Shed House,Common,,1st class Brick,,, pcs ,9,0.00,
,Site Devolopment & Shed House,Common,,2nd class Brick,,, pcs ,8,0.00,
,Site Devolopment & Shed House,Common,,Daily Labour,,40, Nos ,500,"20,000.00",
,Site Devolopment & Shed House,Common,,Layout Cost,,, job ,"5,000.00",0.00,
,Site Devolopment & Shed House,Common,,Contrator Bill,,,,,0.00,
,Structure Work,Up To PL,,08mm Rod,,,kg,,0.00,
,Structure Work,Up To PL,,10mm Rod,GPH,"4,735.00",Kg,71,"336,185.00",
,Structure Work,Up To PL,,12mm Rod,GPH,321,Kg,71,"22,791.00",
,Structure Work,Up To PL,,16mm Rod,GPH,"1,662.00",Kg,71,"118,002.00",
,Structure Work,Up To PL,,20mm Rod,GPH,"5,974.00",Kg,71,"424,154.00",
,Structure Work,Up To PL,,22mm Rod,,,,,0.00,
,Structure Work,Up To PL,,25mm Rod,GPH,315,Kg,71,"22,365.00",
,Structure Work,Up To PL,,Cement (OPC/ CEM I),Fresh,"1,324.00",Bag,425,"562,700.00",
,Structure Work,Up To PL,,Cement (PCC/ CEM II),,,,,0.00,
,Structure Work,Up To PL,,Sand (FM 2.50),APCS,"2,360.00",Cft,55,"129,800.00",
,Structure Work,Up To PL,,Sand (FM 1.50),APCS,516,Cft,28,"14,448.00",
,Structure Work,Up To PL,,Viti Sand,APCS,"4,200.00",Cft,14,"58,800.00",
,Structure Work,Up To PL,,18mm single stone ,,,,,0.00,
,Structure Work,Up To PL,,18mm crushed stone,APCS,"4,012.00",Cft,195,"782,340.00",
,Structure Work,Up To PL,,12mm crushed stone,,,,,0.00,
,Structure Work,Up To PL,,18mm Brick Chips,APCS,183,Cft,90,"16,470.00",
,Structure Work,Up To PL,,1st class Brick,APCS,"12,810.00",Pcs,9,"115,290.00",
,Structure Work,Up To PL,,2nd class Brick,APCS,"9,312.00",Pcs,7.5,"69,840.00",
,Structure Work,Up To PL,,Picket Brick,,,,,0.00,
,Structure Work,Up To PL,,Chemical (ConLub),Baral,40,Litre,145,"5,800.00",
,Structure Work,Up To PL,,Daily Labour,,,,,0.00,
,Structure Work,Up To PL,,Ready Mix Concrete,3500 psi,,Cft,260,0.00,
,Structure Work,Up To PL,,Contrator Bill,APA,"1,486.00",Sft,170,"252,620.00",100%
,Structure Work,Up To PL,,Form Work,,,,,0.00,
,,,,,,,,,0.00,
,Structure Work,Ground Floor,,08mm Rod,,,,,0.00,
,Structure Work,Ground Floor,,10mm Rod,GPH,"3,220.00",Kg,71,"228,620.00",
,Structure Work,Ground Floor,,12mm Rod,GPH,90,Kg,71,"6,390.00",
,Structure Work,Ground Floor,,16mm Rod,GPH,590,Kg,71,"41,890.00",
,Structure Work,Ground Floor,,20mm Rod,GPH,"2,142.00",Kg,71,"152,082.00",
,Structure Work,Ground Floor,,22mm Rod,,,,,0.00,
,Structure Work,Ground Floor,,25mm Rod,GPH,377,Kg,71,"26,767.00",
,Structure Work,Ground Floor,,Cement (OPC/ CEM I),Fresh,67,Bag,425,"28,475.00",
,Structure Work,Ground Floor,,Cement (PCC/ CEM II),,,,,0.00,
,Structure Work,Ground Floor,,Sand (FM 2.50),APCS,138,Cft,55,"7,590.00",
,Structure Work,Ground Floor,,Sand (FM 1.50),APCS,,Cft,28,0.00,
,Structure Work,Ground Floor,,Viti Sand,,,,14,0.00,
,Structure Work,Ground Floor,,18mm single stone ,,,,,0.00,
,Structure Work,Ground Floor,,18mm crushed stone,APCS,264,Cft,195,"51,480.00",
,Structure Work,Ground Floor,,12mm crushed stone,,,,,0.00,
,Structure Work,Ground Floor,,18mm Brick Chips,,,,90,0.00,
,Structure Work,Ground Floor,,1st class Brick,,,,9,0.00,
,Structure Work,Ground Floor,,2nd class Brick,,,,7.5,0.00,
,Structure Work,Ground Floor,,Picket Brick,,,,,0.00,
,Structure Work,Ground Floor,,Chemical (ConLub),Baral,,Litre,145,0.00,
,Structure Work,Ground Floor,,Daily Labour,,5,Nos,,0.00,
,Structure Work,Ground Floor,,Ready Mix Concrete,3500 psi,"1,100.00",Cft,260,"286,000.00",
,Structure Work,Ground Floor,,Contrator Bill,APA,"1,922.00",Sft,99,"190,278.00",180/ @ 55%
,Structure Work,Ground Floor,,Contrator Bill (Boundary Wall),APA,"1,540.00",Sft,38.5,"59,290.00",70/ @ 55%
,Structure Work,Ground Floor,,Form Work,,,,,0.00,
,Structure Work,1st Floor,,08mm Rod,,,,,0.00,
,Structure Work,1st Floor,,10mm Rod,GPH,"2,900.00",Kg,71,"205,900.00",
,Structure Work,1st Floor,,12mm Rod,GPH,65,Kg,71,"4,615.00",
,Structure Work,1st Floor,,16mm Rod,GPH,596,Kg,71,"42,316.00",
,Structure Work,1st Floor,,20mm Rod,GPH,"2,077.00",Kg,71,"147,467.00",
,Structure Work,1st Floor,,22mm Rod,,,,,0.00,
,Structure Work,1st Floor,,25mm Rod,GPH,377,Kg,71,"26,767.00",
,Structure Work,1st Floor,,Cement (OPC/ CEM I),Fresh,67,Bag,425,"28,475.00",
,Structure Work,1st Floor,,Cement (PCC/ CEM II),,,,,0.00,
,Structure Work,1st Floor,,Sand (FM 2.50),APCS,138,Cft,55,"7,590.00",
,Structure Work,1st Floor,,Sand (FM 1.50),APCS,,Cft,28,0.00,
,Structure Work,1st Floor,,Viti Sand,,,,14,0.00,
,Structure Work,1st Floor,,18mm single stone ,,,,,0.00,
,Structure Work,1st Floor,,18mm crushed stone,APCS,264,Cft,195,"51,480.00",
,Structure Work,1st Floor,,12mm crushed stone,,,,,0.00,
,Structure Work,1st Floor,,18mm Brick Chips,,,,90,0.00,
,Structure Work,1st Floor,,1st class Brick,,,,9,0.00,
,Structure Work,1st Floor,,2nd class Brick,,,,7.5,0.00,
,Structure Work,1st Floor,,Picket Brick,,,,,0.00,
,Structure Work,1st Floor,,Chemical (ConLub),Baral,,Litre,145,0.00,
,Structure Work,1st Floor,,Daily Labour,,5,Nos,,0.00,
,Structure Work,1st Floor,,Ready Mix Concrete,3500 psi,"1,025.00",Cft,260,"266,500.00",
,Structure Work,1st Floor,,Contrator Bill,APA,"1,553.00",Sft,103.4,"160,580.20",188/ @ 55%
,Structure Work,1st Floor,,Form Work,,,,,0.00,
,Structure Work,2nd Floor,,08mm Rod,,,,,0.00,
,Structure Work,2nd Floor,,10mm Rod,GPH,"2,900.00",Kg,71,"205,900.00",
,Structure Work,2nd Floor,,12mm Rod,GPH,65,Kg,71,"4,615.00",
,Structure Work,2nd Floor,,16mm Rod,GPH,830,Kg,71,"58,930.00",
,Structure Work,2nd Floor,,20mm Rod,GPH,"1,780.00",Kg,71,"126,380.00",
,Structure Work,2nd Floor,,22mm Rod,,,,,0.00,
,Structure Work,2nd Floor,,25mm Rod,GPH,95,Kg,71,"6,745.00",
,Structure Work,2nd Floor,,Cement (OPC/ CEM I),Fresh,67,Bag,425,"28,475.00",
,Structure Work,2nd Floor,,Cement (PCC/ CEM II),,,,,0.00,
,Structure Work,2nd Floor,,Sand (FM 2.50),APCS,138,Cft,55,"7,590.00",
,Structure Work,2nd Floor,,Sand (FM 1.50),APCS,,Cft,28,0.00,
,Structure Work,2nd Floor,,Viti Sand,,,,14,0.00,
,Structure Work,2nd Floor,,18mm single stone ,,,,,0.00,
,Structure Work,2nd Floor,,18mm crushed stone,APCS,264,Cft,195,"51,480.00",
,Structure Work,2nd Floor,,12mm crushed stone,,,,,0.00,
,Structure Work,2nd Floor,,18mm Brick Chips,,,,90,0.00,
,Structure Work,2nd Floor,,1st class Brick,,,,9,0.00,
,Structure Work,2nd Floor,,2nd class Brick,,,,7.5,0.00,
,Structure Work,2nd Floor,,Picket Brick,,,,,0.00,
,Structure Work,2nd Floor,,Chemical (ConLub),Baral,,Litre,145,0.00,
,Structure Work,2nd Floor,,Daily Labour,,5,Nos,,0.00,
,Structure Work,2nd Floor,,Ready Mix Concrete,3500 psi,"1,067.00",Cft,260,"277,420.00",
,Structure Work,2nd Floor,,Contrator Bill,APA,"1,658.00",Sft,107.8,"178,732.40",196/ @ 55%
,Structure Work,2nd Floor,,Form Work,,,,,0.00,
,Structure Work,3rd Floor,,08mm Rod,,,,,0.00,
