Item Code,Task,Segment,Report,Sub task,Material Spacification,QTY,Unit,Reat,Total Amount in BDT,Remarks
,Site Devolopment & Shed House,Common,,Viti Sand,APCS,600, Cft ,14,"8,400.00",
,Site Devolopment & Shed House,Common,,Shed House (Office Sttuf),APCS,1, Job ,"14,000.00","14,000.00",
,Site Devolopment & Shed House,Common,,Shed House (Worker),APCS,1, Job ,"40,000.00","40,000.00",
,Site Devolopment & Shed House,Common,,Costruction of Site Office,APCS,1, Job ,"20,000.00","20,000.00",
,Site Devolopment & Shed House,Common,,Store Room,APCS,1, Job ,"30,000.00","30,000.00",
,Site Devolopment & Shed House,Common,,Worker toilet,APCS,1, Job ,"15,000.00","15,000.00",
,Site Devolopment & Shed House,Common,,Electric Connection ,APCS,1, Job ,"2,000.00","2,000.00",
,Site Devolopment & Shed House,Common,,Water Connection ,APCS,1, Job ,"2,000.00","2,000.00",
,Site Devolopment & Shed House,Common,,Facing Wall,APCS,1, Job ,"95,000.00","95,000.00",
,Site Devolopment & Shed House,Common,,Project Board,APCS,1, Job ,"30,000.00","30,000.00",
,Site Devolopment & Shed House,Common,,Project Board,APCS,1, Job ,"15,000.00","15,000.00",
,Site Devolopment & Shed House,Common,,1st class Brick,APCS,"2,000.00", Pcs ,14.5,"29,000.00",
,Site Devolopment & Shed House,Common,,2nd class Brick,APCS,"5,000.00", Pcs ,12,"60,000.00",
,Site Devolopment & Shed House,Common,,Daily Labour,APCS,50, Nos ,600,"30,000.00",
,Site Devolopment & Shed House,Common,,Layout Cost,APCS,1, Job ,"10,000.00","10,000.00",
,Structure Work,Ground Floor to Roof Top With Sub Structure,,10mm Rod,GPH,"46,994.00",Kg,92,"4,323,448.00",
,Structure Work,Ground Floor to Roof Top With Sub Structure,,12mm Rod,GPH,"5,365.00",Kg,92,"493,580.00",
,Structure Work,Ground Floor to Roof Top With Sub Structure,,16mm Rod,GPH,"17,094.00",Kg,92,"1,572,648.00",
