Item Code,Task,Segment,Report,Sub task,Material Spacification,QTY,Unit,Reat,Total Amount in BDT,Remarks
,Project Asset,Common,,Water Pump,, 2.00 ,Pcs,"12,000.00","24,000.00",Build Area
,Project Asset,Common,,Wooden Shutter,, 500.00 ,Sft,50.00,"25,000.00","20,000.00"
,Project Asset,Common,,Bed,, 2.00 ,Pcs,"2,000.00","4,000.00",
,Project Asset,Common,,Table,, 2.00 ,Pcs,"1,500.00","3,000.00",
,Project Asset,Common,,Chair,, 6.00 ,Pcs,"1,200.00","7,200.00",
,Project Asset,Common,,Mat Pump,, 2.00 ,Pcs,"8,000.00","16,000.00",
,Project Asset,Common,,Delivary Paip,," 1,500.00 ",Rft,15.00,"22,500.00",
,Project Asset,Common,,Bicycle,, 1.00 ,Pcs,"10,000.00","10,000.00",
,Project Asset,Common,,Electric Fan,, 4.00 ,Pcs,"3,200.00","12,800.00",
,Project Asset,Common,,Gumboot,, 25.00 ,Pcs,500.00,"12,500.00",
,Project Asset,Common,,Safety Helmet,, 60.00 ,Pcs,350.00,"21,000.00",
,Project Asset,Common,,Safety Belt,, 60.00 ,Pcs,350,"21,000.00",
,Project Overhead ,Common,,Electic Bill (DESCO),, 30.00 ,Month," 10,000.00 "," 300,000.00 ",20000
,Project Overhead ,Common,,Water Bill (WASA),, 30.00 ,Month," 15,000.00 "," 450,000.00 ",
,Project Overhead ,Common,,Engineer 01,, 30.00 ,Month," 32,000.00 "," 960,000.00 ",
,Project Overhead ,Common,,Site Superviser 01,, 34.00 ,Month," 20,000.00 "," 680,000.00 ",
,Project Overhead ,Common,,Site Superviser 02,, 30.00 ,Month," 14,000.00 "," 420,000.00 ",
,Direct Common Cost,Common,,Gas Connection,,1,Pcs," 5,000.00 "," 5,000.00 "," 20,000.00 "
,Direct Common Cost,Common,,Electric Connection (Residential),,1,Job," 5,000.00 "," 5,000.00 ",
,Direct Common Cost,Common,,Water Connection (Residential),,1,Job," 5,000.00 "," 5,000.00 ",
,Direct Common Cost,Common,,Solar,,1,Job," 180,000.00 "," 180,000.00 ",
,Direct Common Cost,Common,,Earthing Boaring,,1,Job," 100,000.00 "," 100,000.00 ",
,Direct Common Cost,Common,,Lift,,1,Pcs," 3,200,000.00 "," 3,200,000.00 ",
,Direct Common Cost,Common,,Generator,45 KW,1,Pcs," 1,400,000.00 "," 1,400,000.00 ",
,Direct Common Cost,Common,,Substation,150 KVA,1,Pcs," 1,500,000.00 "," 1,500,000.00 ",
,Direct Common Cost,Common,,Substation Power Cable,,1,Job," 400,000.00 "," 400,000.00 ",
,Direct Common Cost,Common,,Front site garden,,1,Job," 120,000.00 "," 120,000.00 ",
,Direct Common Cost,Common,,Handover Project Board,,1,Job," 85,000.00 "," 85,000.00 ",
,Indirect Common Cost,Common,, Conveyance ,, 1.00 , Job ," 120,000.00 "," 120,000.00 "," 20,000.00 "
,Indirect Common Cost,Common,, Entertainment ,, 1.00 , Job ," 30,000.00 "," 30,000.00 ",
,Indirect Common Cost,Common,, Debris Cleaning ,," 25,000.00 ", Cft , 7.00 ," 175,000.00 ",
,Indirect Common Cost,Common,, Subscription Charge ,, 30.00 , Month ," 10,000.00 "," 300,000.00 ",
,Indirect Common Cost,Common,, Miscellaneous General ,, 1.00 , Job ," 50,000.00 "," 50,000.00 ",
