Item Code,Task,Segment,Report,Sub task,Material Spacification,QTY,Unit,Reat,Total Amount in BDT,Remarks
,Site Devolopment & Shed House,Common,,Viti Sand,,"1,500.00",cft,14,"21,000.00",
,Site Devolopment & Shed House,Common,,Shed House (Office Sttuf),,1,job,"14,000.00","14,000.00",
,Site Devolopment & Shed House,Common,,Shed House (Worker),,1,job,"40,000.00","40,000.00",
,Site Devolopment & Shed House,Common,,Costruction of Site Office,,1,job,"20,000.00","20,000.00",
,Site Devolopment & Shed House,Common,,Store Room,,1,job,"30,000.00","30,000.00",
,Site Devolopment & Shed House,Common,,Worker toilet,,1,job,"15,000.00","15,000.00",
,Site Devolopment & Shed House,Common,,Electric Connection,,1,job,"45,000.00","45,000.00",
,Site Devolopment & Shed House,Common,,Water Connection,,1,job,"45,000.00","45,000.00",
,Site Devolopment & Shed House,Common,,Facing Wall,,1,job,"85,000.00","85,000.00",
,Site Devolopment & Shed House,Common,,Project Board (1),,1,job,"30,000.00","30,000.00",
,Site Devolopment & Shed House,Common,,Project Board (2),,1,job,"15,000.00","15,000.00",
,Site Devolopment & Shed House,Common,,1st class Brick,,"2,000.00",pcs,9,"18,000.00",
,Site Devolopment & Shed House,Common,,2nd class Brick,,"5,000.00",pcs,8,"40,000.00",
,Site Devolopment & Shed House,Common,,Daily Labour,,50,Nos,500,"25,000.00",
,Site Devolopment & Shed House,Common,,Layout Cost,,1,job,"10,000.00","10,000.00",
,Pile Work,Common,,08mm Rod,GPH,,Kg,,0,
,Pile Work,Common,,10mm Rod,GPH,"6,376.69",Kg,66.07,"421,307.91",
,Pile Work,Common,,12mm Rod,GPH,,Kg,,0,
,Pile Work,Common,,16mm Rod,GPH,"12,711.75",Kg,66.28,"842,534.79",
,Pile Work,Common,,20mm Rod,GPH,,Kg,,0,
,Pile Work,Common,,22mm Rod,GPH,,Kg,,0,
,Pile Work,Common,,25mm Rod,GPH,,Kg,,0,
,Pile Work,Common,,Cement (OPC/ CEM I),Fresh,"1,520.00",Bag,398.13,"605,157.60",
,Pile Work,Common,,Cement (PCC/ CEM II),Fresh,,Bag,,0,
,Pile Work,Common,,Sand (FM 2.50),APCS,"3,715.00",Cft,55.24,"205,216.60",
,Pile Work,Common,,Sand (FM 1.50),APCS,,Cft,,0,
,Pile Work,Common,,Viti Sand,APCS,723,Cft,11.08,"8,010.84",
,Pile Work,Common,,18mm down single stone,APCS,"5,617.00",Cft,166.31,"934,163.27",
,Pile Work,Common,,18mm crushed stone,APCS,,Cft,,0,
,Pile Work,Common,,12mm crushed stone,APCS,,Cft,,0,
,Pile Work,Common,,18mm Brick Chips,APCS,,Cft,,0,
,Pile Work,Common,,1st class Brick,APCS,,Pcs,,0,
,Pile Work,Common,,2nd class Brick,APCS,,Pcs,,0,
,Pile Work,Common,,Picket Brick,APCS,,Pcs,,0,
,Pile Work,Common,,Chemical (ConLub),Baral,485,Litre,145,"70,325.00",
,Pile Work,Common,,Materials Carring,,1,Job,"57,600.00","57,600.00",
,Pile Work,Common,,Daily Labour,,,Pcs,,0,
,Pile Work,Common,,Contrator Bill,APA,,,,0,
,Pile Work,Common,,20" dia,,"3,666.00",Rft,170,"623,220.00",
,Pile Work,Common,,22" dia,,,Rft,,0,
,Pile Work,Common,,Rent of Form Work,,,Sft,,0,
,Structure Work,Up To PL,,08mm Rod,,,,,0,
,Structure Work,Up To PL,,10mm Rod,GPH,"4,978.02",Kg,73.5,"365,884.47",
,Structure Work,Up To PL,,12mm Rod,GPH,"3,197.59",Kg,73.5,"235,022.87",
,Structure Work,Up To PL,,16mm Rod,GPH,"1,768.09",Kg,73.5,"129,954.62",
,Structure Work,Up To PL,,20mm Rod,GPH,"5,098.12",Kg,73.5,"374,711.82",
,Structure Work,Up To PL,,22mm Rod,,,,,0,
,Structure Work,Up To PL,,25mm Rod,GPH,351.39,Kg,73.5,"25,827.17",
,Structure Work,Up To PL,,Cement (OPC/ CEM I),Fresh,"1,130.00",Bag,425,"480,250.00",
,Structure Work,Up To PL,,Cement (PCC/ CEM II),,,,,0,
,Structure Work,Up To PL,,Sand (FM 2.50),APCS,"2,020.56",Cft,55,"111,130.80",
,Structure Work,Up To PL,,Sand (FM 1.50),APCS,576.75,Cft,28,"16,149.00",
,Structure Work,Up To PL,,Viti Sand,APCS,"14,252.63",Cft,14,"199,536.82",
,Structure Work,Up To PL,,18mm single stone,,,,,0,
,Structure Work,Up To PL,,18mm crushed stone,APCS,"2,950.00",Cft,195,"575,250.00",
,Structure Work,Up To PL,,12mm crushed stone,,,,,0,
,Structure Work,Up To PL,,18mm Brick Chips,APCS,"2,015.27",Cft,90,"181,374.30",
,Structure Work,Up To PL,,1st class Brick,APCS,,,9,0,
,Structure Work,Up To PL,,2nd class Brick,APCS,"22,000.00",Pcs,7.5,"165,000.00",
,Structure Work,Up To PL,,Picket Brick,,,,,0,
,Structure Work,Up To PL,,Chemical (ConLub),Baral,210.54,Litre,145,"30,528.30",
,Structure Work,Up To PL,,Daily Labour,APA,5,Nos,500,"2,500.00",
,Structure Work,Up To PL,,Contrator Bill,APA,"2,414.87",Sft,170,"410,527.90",100%
,Structure Work,Up To PL,,Form Work,,,,,0,
,Structure Work,Ground Floor,,08mm Rod,,,,,0,
